#separator:tab
#html:true
#tags column:52
creepy (unease)	"<img src=""Hange_Crazy.JPG"">"	assustador	assustador	/ɐsuʃtɐˈdoɾ/	/asustaˈdoʁ/	adj m	Que provoca medo ou susto; aterrorizante.		creepy	/ˈkɹipi/	/ˈkriːpi/	adj	Causing an unpleasant feeling of fear or unease.	A ghostly atmosphere and strange goings-on. This film was just too creepy for me.	espeluznante						effrayant						gruselig						espantós						spaventoso												Curso::1C1 Curso::1C1::File_4 Curso::1C1::Vocabulary-Bank::Books-and-Films Voc::Film
do all the donkey work		fazer todo o trabalho pesado	fazer todo o trabalho pesado	fɐˈzeɾ ˈtɔdu u tɾɐˈbaʎu pɨˈzadu	faˈzeʁ ˈtɔdu u tɾaˈbaʎu peˈzadu	exp	Realizar tarefas mais difíceis ou cansativas.		do all the donkey work	ˈdu ˈɔl ðə ˈdɑŋki ˈwɜ˞k	ˈduː ˈɔːl ðə ˈdɒŋki ˈwɜːk	exp	To do the hard, tedious, or less rewarding part of a task.	I did all the donkey work for this project. I hope to get some credit for it.	hacer todo el trabajo sucio						faire tout le sale boulot						die Drecksarbeit machen						fer tota la feina bruta						fare tutto il lavoro sporco												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters
their bark is worse than their bite		o latido é pior que a mordida dela	o latido é pior que a mordida dela	u lɐˈtidu ˈɛ piˈɔɾ kɨ ɐ muɾˈdidɐ ˈdɛlɐ	u laˈtʃidu ˈɛ piˈɔʁ ki a moʁˈdʒidɐ ˈdɛlɐ	exp	Expressão sobre ameaças vazias.		her bark is worse than her bite	ˈhɜ˞ ˈbɑrk ˈɪz ˈwɜ˞s ˈðæn ˈhɜ˞ ˈbaɪt	ˈhɜː ˈbɑːk ˈɪz ˈwɜːs ðæn ˈhɜː ˈbaɪt	exp	Someone who seems aggressive but is actually not harmful.	My boss can seem quite aggressive, but in fact her bark is worse than her bite .	perro ladrador, poco mordedor						chien qui aboie ne mord pas						Hunde, die bellen, beißen nicht						el seu lladruc és pitjor que la seua mossegada						il suo abbaiare è peggio del suo mordere												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters
infestation	"<img src=""_bug_infestation.jpg"">"	infestação	a infestação	ɐ ĩfɨʃtɐˈsɐ̃w̃	a ĩfestaˈsɐ̃w̃	sf	Superpopulação de insetos ou pragas.		infestation	ˌɪnˌfɛˈsteɪʃən	ˌɪnfesˈtʰeɪʃᵊn	n	"A large number of insects or animals causing damage in a place. With ""I"""	She had an infestation of insects in her house.	infestación						infestation						Befall						infestació						infestazione												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals::EN-Animals
kill two birds with one stone		matar dois coelhos com uma cajadada só	matar dois coelhos com uma cajadada só	mɐˈtaɾ ˈdojʃ kuˈɐʎuʃ ˈkõ ˈumɐ kɐʒɐˈdadɐ ˈsɔ	maˈtaʁ ˈdojs koˈeʎus ˈkõ ˈumɐ kaʒaˈdadɐ ˈsɔ	exp	Realizar duas tarefas com um único esforço.		kill two birds with one stone	ˈkʰɪl ˈtʰu ˈbɜ˞dz ˈwɪθ ˈwən ˈstoʊn	ˈkʰɪl ˈtʰuː ˈbɜːdz wɪð ˈwʌn ˈstəʊn	exp	To accomplish two things at once with a single effort.	The meeting is in Manchester so I can visit my mother and kill two birds with one stone .	matar dos pájaros de un tiro						faire d’une pierre deux coups						zwei Fliegen mit einer Klappe schlagen						matar dos pardals d'un tir						accoppare due piccioni con una fava												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters
like a fish out of water		como um peixe fora d’água	como um peixe fora d’água	ˈkɔmu ˈũ ˈpɐjʃɨ ˈfɔɾɐ ˈdaɡwɐ	ˈkɔmu ˈũ ˈpejʃi ˈfɔɾɐ ˈdaɡwɐ	exp	Estar fora de seu ambiente natural.		like a fish out of water	ˈlaɪk ə ˈfɪʃ ˈaʊt əv ˈwɔtə˞	ˈlaɪk ə ˈfɪʃ ˈaʊt əv ˈwɔːtə	exp	Feeling uncomfortable or out of place in a situation.	He was like a fish out of water when we moved to London.	como pez fuera del agua						"comme un poisson hors de l&#x27;eau"						wie ein Fisch auf dem Trockenen						como un peix fora de l'aigua						come un pesce fuor d'acqua												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters
like water off a duck's back		como água em penas de pato	como água em penas de pato	ˈkɔmu ˈaɡwɐ ˈɐ̃j̃ ˈpɛnɐʒ dɨ ˈpatu	ˈkɔmu ˈaɡwɐ ˈẽj̃ ˈpɛnas dʒi ˈpatu	exp	Algo que não se afeta por problemas.		like water off a duck's back	ˈlaɪk ˈwɔtə˞ ˈɔf ə ˈdəks ˈbæk	ˈlaɪk ˈwɔːtər ˈɒf ə ˈdʌks ˈbæk	exp	A criticism or insult that has no effect on someone.	I told him everything I thought about him, but it was like water off a duck’s back .	como agua en las plumas de un pato						comme l'eau sur les plumes d'un canard						abperlen wie Wasser von einer Ente						com aigua sobre les plomes d'un ànec						come l'acqua sulle piume di un'anatra												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters
shellfish		marisco	o marisco	u mɐˈɾiʃku	u maˈɾisku	sm	Molusco de concha comestível.		shellfish	ˈʃɛlˌfɪʃ	ˈʃelfɪʃ	n	A type of seafood including shrimp, crabs, and clams.	"I am extremely allergic to shellfish , so can&amp;#x27;t eat it."	marisco						coquillage						Schalentier						marisc						frutti di mare												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals Voc::Animals::EN-Animals
smell a rat		cheirar uma ratoeira	cheirar uma ratoeira	ʃɐjˈɾaɾ ˈumɐ ʁɐtuˈɐjɾɐ	ʃejˈɾaʁ ˈumɐ ʁatoˈejɾɐ	exp	Suspeitar de uma armadilha.		smell a rat	ˈsmɛl ə ˈɹæt	ˈsmel ə ˈræt	exp	To suspect that something is wrong or dishonest.	They say no one is going to be fired, but I smell a rat.	sentir algo raro						ressentir un piège						etwas faul riechen						ensumar alguna cosa rara						sentire odore di bruciato												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters
sting		picada	a picada	ɐ piˈkadɐ	a piˈkadɐ	sf	Picada de inseto ou animal venenoso.		sting	ˈstɪŋ	ˈstɪŋ	n	"A wound or irritation caused by an insect or animal. It's not ""bite"""	A wasp sting can be really painful.	picadura						piqûre						Stich						picada						puntura												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals::EN-Animals
the lion’s share		a maior parte	a maior parte	ɐ mɐjˈɔɾ ˈpaɾtɨ	a majˈɔʁ ˈpaʁtʃi	exp	A maior fração ou porção.		the lion’s share	ðə ˈlaɪənz ˈʃɛr	ðə ˈlaɪənz ˈʃeə	exp	The largest or best portion of something.	When they divorced, his wife got the lion’s share of everything they owned.	la mayor parte						la part du lion						der Löwenanteil						la major part						la maggior parte												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters
with his tail between his legs		com o rabo entre as pernas	com o rabo entre as pernas	ˈkõ u ˈʁabu ˈẽtɾɨ ɐʃ ˈpɛɾnɐʃ	ˈkõ u ˈʁabu ˈẽtɾi aʃ ˈpɛʁnas	exp	Demonstrar medo ou submissão.		with his tail between his legs	ˈwɪθ ˈhɪz ˈtʰeɪl bɪˈtwin ˈhɪz ˈlɛɡz	wɪð hɪz ˈtʰeɪl bɪˈtwiːn hɪz ˈleɡz	exp	Feeling ashamed or embarrassed after failure.	After playing so badly, he walked off with his tail between his legs.	con el rabo entre las piernas						la queue entre les jambes						den Schwanz eingezogen						amb la cua entre les cames						con la coda tra le gambe												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters
conservation		conservação	a conservação	ɐ kõsɨɾvɐˈsɐ̃w̃	a kõseʁvaˈsɐ̃w̃	sf	Proteção e preservação da natureza e dos recursos.		conservation	ˌkɑnsə˞ˈveɪʃən	ˌkɒnsəˈveɪʃᵊn	n	The protection and preservation of nature and resources.	We should spend more time and money on general conservation , not only a few endangered species.	conservación						conservation						Erhaltung						conservació						conservazione												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Voc::Animals::EN-Animals Voc::Environment
hunting	"<img src=""_hunting.JPG"">"	caça	a caça	ɐ ˈkasɐ	a ˈkasɐ	sf	Ato de perseguir e matar animais para alimentação ou desporto.		hunting	ˈhəntɪŋ	ˈhʌntɪŋ	n	The act of pursuing and killing animals for food or sport.	Hunting for food is acceptable, but hunting for fun is not.	caza						chasse						Jagd						caça						caccia												Curso::1C1::File_9 Curso::1C1::Vocabulary-Bank::Animal-Matters Curso::2A2::DONE::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes::Pokot Voc::Animals::EN-Animals
depth									depth	/ˈdɛpθ/	/depθ/	n	The measurement of how deep something is.	What’s the depth of the water here?	profundidad																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Word-Building::Adjectives-Nouns-Verbs
deepen									deepen	/ˈdipən/	/ˈdiːpən/	v	To become deeper or make something deeper.	The water started to deepen gradually.	hacerse más profundo																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Word-Building::Adjectives-Nouns-Verbs
flatness									flatness	/ˈflætnəs/	/ˈflætnəs/	n	The quality of being level or lacking variation.	She liked the flatness of the plain.	llanura																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Word-Building::Adjectives-Nouns-Verbs
flatten									flatten	/ˈflætn̩/	/ˈflætn/	v	To make something flat or level.	The cookies will flatten slightly while cooking.	aplanar																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Word-Building::Adjectives-Nouns-Verbs
height									height	/ˈhaɪt/	/haɪt/	n	The measurement of how tall something is.	I’m the same height as my sister.	altura																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Word-Building::Adjectives-Nouns-Verbs
heighten									heighten	/ˈhaɪtn̩/	/ˈhaɪtn/	v	To increase or make something more intense.	Tension has heightened after the attack.	aumentar																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Word-Building::Adjectives-Nouns-Verbs
length									length	/ˈlɛŋθ/	/leŋθ/	n	The measurement of how long something is.	What’s the length of the room?	longitud																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Word-Building::Adjectives-Nouns-Verbs
lengthen									lengthen	/ˈlɛŋθən/	/ˈleŋθən/	v	To make something longer.	I need to lengthen this skirt.	alargar																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Word-Building::Adjectives-Nouns-Verbs
shorten									shorten	/ˈʃɔrtn̩/	/ˈʃɔːtn/	v	To make something shorter in length or duration.	I need to shorten these trousers. They are too long.	acortar																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Word-Building::Adjectives-Nouns-Verbs
shortness									shortness	/ˈʃɔrtnəs/	/ˈʃɔːtnəs/	n	The state of being short in length or duration.	My grandfather suffers from shortness of breath.	falta (de)																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Word-Building::Adjectives-Nouns-Verbs
strength									strength	/ˈstɹɛŋkθ/	/streŋθ/	n	The quality of being physically or mentally strong.	I need to gain some strength in my legs.	fuerza																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Word-Building::Adjectives-Nouns-Verbs
strengthen									strengthen	/ˈstɹɛŋkθən/	/ˈstreŋθn/	v	To make stronger or more resilient.	Regular exercise strengthens your muscles.	fortalecer																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Word-Building::Adjectives-Nouns-Verbs
thicken									thicken	/ˈθɪkən/	/ˈθɪkən/	v	To make something denser or more solid.	If you want to thicken the sauce, add flour.	espesar																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Word-Building::Adjectives-Nouns-Verbs
thickness									thickness	/ˈθɪknəs/	/ˈθɪknəs/	n	The measurement of how thick something is.	I don’t like the thickness of the sauce.	densidad																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Word-Building::Adjectives-Nouns-Verbs
weaken									weaken	/ˈwikən/	/ˈwiːkən/	v	To reduce strength or make something less effective.	The team has been weakened by injury.	debilitar																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Word-Building::Adjectives-Nouns-Verbs
weakness									weakness	/ˈwiknəs/	/ˈwiːknəs/	n	A lack of strength or a vulnerable point.	He’s almost unbeatable. He has no real weakness.	punto débil																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Word-Building::Adjectives-Nouns-Verbs
widen									widen	/ˈwaɪdn̩/	/ˈwaɪdn/	v	To make something broader or more extensive.	Here the stream widens into a river.	ensanchar(se)																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Word-Building::Adjectives-Nouns-Verbs
width									width	/ˈwɪdθ/	/wɪdθ/	n	The measurement of how wide something is.	What’s the width of the river?	anchura																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Word-Building::Adjectives-Nouns-Verbs
achieve									achieve	/əˈtʃiv/	/əˈtʃiːv/	v	To successfully accomplish something through effort.	She is very proud of what she has achieved this year – she has worked so hard.	lograr																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Words-often-confused
decline									decline	/dɪˈklaɪn/	/dɪˈklaɪn/	v	To refuse something or gradually decrease.	I offered to help her write the report, but she declined .	rechazar																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Words-often-confused
deny									deny	/dɪˈnaɪ/	/dɪˈnaɪ/	v	To state that something is not true or refuse to admit it.	"My sister denied breaking Mum&#x27;s new phone, but I know she did it."	negar																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Words-often-confused
deplore									deplore	/dɪˈplɔr/	/dɪˈplɔː/	v	To strongly disapprove of something.	My Dad deplores how politicians behave.	desaprobar																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Words-often-confused
emigrant									emigrant	/ˈɛmɪɡɹənt/	/ˈemɪɡrənt/	adj	A person who leaves their country to settle elsewhere.	He was a member of an emigrant family who went to Australia decades ago.	emigrante																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Words-often-confused
floor									floor	/ˈflɔr/	/flɔː/	n	The surface of a room that people walk on.	She accidently spilled juice all over the kitchen floor.	suelo																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Words-often-confused
foreigner									foreigner	/ˈfɔrənə˞/	/ˈfɒrənə/	n	A person from another country.	As a foreigner, things were a bit more complicated for me.	extranjero																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Words-often-confused
ground									ground	/ˈɡɹaʊnd/	/ɡraʊnd/	n	The surface of the earth.	The ground is covered in autumn leaves.	suelo																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Words-often-confused
immigrant									immigrant	/ˈɪməɡɹənt/	/ˈɪmɪɡrənt/	adj	A person who moves to another country to live permanently.	The city has a large immigrant population, with a variety of cultures and customs.	inmigrante																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Words-often-confused
journey									journey	/ˈdʒɜ˞ni/	/ˈdʒɜːni/	n	An act of traveling from one place to another.	It was an eight-hour car journey to get to the coast.	viaje																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Words-often-confused
outsider									outsider	/ˌaʊtˈsaɪdə˞/	/aʊtˈsaɪdə/	n	A person who does not belong to a particular group or place.	She felt like an outsider most of the time.	marginado																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Words-often-confused
migrant									migrant	/ˈmaɪɡɹənt/	/ˈmaɪɡrənt/	adj	A person who moves from one place to another, often for work.	The farm usually employs migrant workers in the fruit-picking season.	inmigrantes																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Words-often-confused
reach									reach	/ˈɹitʃ/	/riːtʃ/	v	To arrive at a place or achieve a goal.	When we finally reached our destination, we breathed a sigh of relief.	llegar a																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Words-often-confused
reclusive									reclusive	/ɹɪˈklusɪv/	/rɪˈkluːsɪv/	adj	Choosing to live in isolation or avoiding social interactions.	He lives in a solitary cottage away from the city – a reclusive lifestyle is his choice.	solitario																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Words-often-confused
reserved									reserved	/ɹɪˈzɜ˞vd/	/rɪˈzɜːvd/	adj	Not openly expressing thoughts or emotions.	"It&#x27;s hard to know how she&#x27;s feeling, as she&#x27;s reserved and unemotional."	reservado																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Words-often-confused
soil									soil	/ˈsɔɪəl/	/sɔɪl/	n	The upper layer of earth where plants grow.	You can only grow these plants in acidic soil .	tierra																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Words-often-confused
stranger									stranger	/ˈstɹeɪndʒə˞/	/ˈstreɪndʒə/	n	A person who is unknown to someone.	When I arrived at work there was a complete stranger sitting at my desk.	desconocido																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Words-often-confused
stroll (verb)									stroll	/ˈstɹoʊl/	/strəʊl/	v	To walk in a relaxed and leisurely manner.	They strolled along the river bank, enjoying the sunny afternoon.	pasear																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Words-often-confused
succeed									succeed	/səkˈsid/	/səkˈsiːd/	v	To accomplish a goal or achieve success.	She succeeded in starting up her own business last year and now has two shops.	tener éxito																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Words-often-confused
trip									trip	/ˈtɹɪp/	/trɪp/	n	A journey taken for pleasure or business.	We went on an amazing trip to New Zealand last summer.	viaje																																				Curso::1C1::File_10 Curso::1C1::Vocabulary-Bank::Words-often-confused
